fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
6188,"UFC LIVE 5: Hardy vs Lytle","Donald Cerrone","Charles Oliveira",Lightweight,KO/TKO,Punches,1,3:01,295c2e1ae2d54287,14811,6188,621,1,"Donald Cerrone",0,32,63,0,0,0,0,0,0:12,14811,6188,621,1,"Donald Cerrone",22,49,2,4,6,7,14,34,1,2,15,24,621,"UFC LIVE 5: Hardy vs Lytle",2011-08-14,"Milwaukee, Wisconsin, USA","6,751",4c8d6fde2dde07c4
6188,"UFC LIVE 5: Hardy vs Lytle","Donald Cerrone","Charles Oliveira",Lightweight,KO/TKO,Punches,1,3:01,295c2e1ae2d54287,14812,6188,621,1,"Charles Oliveira",0,10,29,0,0,0,0,0,0:00,14812,6188,621,1,"Charles Oliveira",5,19,3,6,2,4,10,27,0,2,0,0,621,"UFC LIVE 5: Hardy vs Lytle",2011-08-14,"Milwaukee, Wisconsin, USA","6,751",4c8d6fde2dde07c4
4005,"UFC 218: Holloway vs. Aldo 2","Paul Felder","Charles Oliveira",Lightweight,KO/TKO,Elbows,2,4:06,c83487136636e9bf,14817,4005,374,1,"Charles Oliveira",0,5,10,2,3,2,2,0,2:18,14817,4005,374,1,"Charles Oliveira",2,6,0,0,3,3,3,3,0,1,2,5,374,"UFC 218: Holloway vs. Aldo 2",2017-12-02,"Detroit, Michigan, USA","17,587",9e30f69cc0869301
4005,"UFC 218: Holloway vs. Aldo 2","Paul Felder","Charles Oliveira",Lightweight,KO/TKO,Elbows,2,4:06,c83487136636e9bf,14818,4005,374,1,"Paul Felder",0,16,24,0,0,0,0,0,1:55,14818,4005,374,1,"Paul Felder",12,19,2,3,0,0,1,4,0,0,13,18,374,"UFC 218: Holloway vs. Aldo 2",2017-12-02,"Detroit, Michigan, USA","17,587",9e30f69cc0869301
4005,"UFC 218: Holloway vs. Aldo 2","Paul Felder","Charles Oliveira",Lightweight,KO/TKO,Elbows,2,4:06,c83487136636e9bf,14819,4005,374,2,"Charles Oliveira",0,7,10,0,0,0,0,1,0:34,14819,4005,374,2,"Charles Oliveira",1,2,0,1,0,1,0,2,1,1,0,1,374,"UFC 218: Holloway vs. Aldo 2",2017-12-02,"Detroit, Michigan, USA","17,587",9e30f69cc0869301
4005,"UFC 218: Holloway vs. Aldo 2","Paul Felder","Charles Oliveira",Lightweight,KO/TKO,Elbows,2,4:06,c83487136636e9bf,14820,4005,374,2,"Paul Felder",0,21,28,0,0,0,2,0,2:56,14820,4005,374,2,"Paul Felder",14,21,2,2,1,1,0,0,4,4,13,20,374,"UFC 218: Holloway vs. Aldo 2",2017-12-02,"Detroit, Michigan, USA","17,587",9e30f69cc0869301
3634,"UFC Live on Versus: Kongo vs Barry","Nik Lentz","Charles Oliveira",Lightweight,Overturned,NULL,2,1:48,91daeeeea0a83e49,14827,3634,338,1,"Nik Lentz",0,18,38,1,4,1,1,0,2:11,14827,3634,338,1,"Nik Lentz",9,24,1,3,3,4,11,26,0,1,2,4,338,"UFC Live on Versus: Kongo vs Barry",2011-06-26,"Pittsburgh, Pennsylvania,","7,792",d023ae89a2a4a41e
3634,"UFC Live on Versus: Kongo vs Barry","Nik Lentz","Charles Oliveira",Lightweight,Overturned,NULL,2,1:48,91daeeeea0a83e49,14828,3634,338,1,"Charles Oliveira",1,37,62,1,2,2,2,1,0:54,14828,3634,338,1,"Charles Oliveira",18,38,5,8,2,3,9,23,11,18,5,8,338,"UFC Live on Versus: Kongo vs Barry",2011-06-26,"Pittsburgh, Pennsylvania,","7,792",d023ae89a2a4a41e
3634,"UFC Live on Versus: Kongo vs Barry","Nik Lentz","Charles Oliveira",Lightweight,Overturned,NULL,2,1:48,91daeeeea0a83e49,14829,3634,338,2,"Nik Lentz",0,1,2,1,3,1,0,0,0:11,14829,3634,338,2,"Nik Lentz",0,0,0,0,1,2,1,2,0,0,0,0,338,"UFC Live on Versus: Kongo vs Barry",2011-06-26,"Pittsburgh, Pennsylvania,","7,792",d023ae89a2a4a41e
3634,"UFC Live on Versus: Kongo vs Barry","Nik Lentz","Charles Oliveira",Lightweight,Overturned,NULL,2,1:48,91daeeeea0a83e49,14830,3634,338,2,"Charles Oliveira",0,24,31,0,0,1,2,1,1:22,14830,3634,338,2,"Charles Oliveira",5,9,1,1,0,0,2,4,1,1,3,5,338,"UFC Live on Versus: Kongo vs Barry",2011-06-26,"Pittsburgh, Pennsylvania,","7,792",d023ae89a2a4a41e
