fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,event_id,event_title,event_date,event_location,event_attendance,event_url
5287,"UFC 152: Jones vs Belfort","Cub Swanson","Charles Oliveira",Featherweight,KO/TKO,Punch,1,2:40,307b12b9f08a4cbf,14832,5287,517,1,"Charles Oliveira",0,10,22,1,2,0,0,0,0:46,14832,5287,517,1,"Charles Oliveira",5,17,0,0,1,1,4,15,0,0,2,3,517,"UFC 152: Jones vs Belfort",2012-09-22,"Toronto, Ontario, Canada","16,800",53e533db1b8e9712
3690,"UFC on FOX: Evans vs Davis","Charles Oliveira","Eric Wisely",Featherweight,SUB,"Other - Lock",1,1:43,7a4e5bcd7336d203,18639,3690,343,1,"Charles Oliveira",0,7,13,1,1,2,0,0,0:35,18639,3690,343,1,"Charles Oliveira",2,6,1,2,3,4,3,5,0,0,3,7,343,"UFC on FOX: Evans vs Davis",2012-01-28,"Chicago, Illinois, USA","16,963",c3c23c99477c041b
3690,"UFC on FOX: Evans vs Davis","Charles Oliveira","Eric Wisely",Featherweight,SUB,"Other - Lock",1,1:43,7a4e5bcd7336d203,18640,3690,343,1,"Eric Wisely",0,3,5,0,0,0,0,0,0:06,18640,3690,343,1,"Eric Wisely",0,1,1,2,1,1,2,4,0,0,0,0,343,"UFC on FOX: Evans vs Davis",2012-01-28,"Chicago, Illinois, USA","16,963",c3c23c99477c041b
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26813,7542,841,1,"Jeremy Stephens",0,15,21,0,0,0,0,0,3:33,26813,7542,841,1,"Jeremy Stephens",10,15,2,2,1,2,8,13,0,0,5,6,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26814,7542,841,1,"Charles Oliveira",0,21,27,0,1,1,0,0,0:26,26814,7542,841,1,"Charles Oliveira",8,13,4,5,0,0,4,10,5,5,3,3,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26815,7542,841,2,"Jeremy Stephens",0,11,21,0,0,0,0,0,0:52,26815,7542,841,2,"Jeremy Stephens",8,17,1,2,2,2,2,7,6,6,3,8,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26816,7542,841,2,"Charles Oliveira",0,30,37,1,1,2,3,0,3:31,26816,7542,841,2,"Charles Oliveira",9,14,5,5,1,1,6,7,6,8,3,5,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26817,7542,841,3,"Jeremy Stephens",0,29,46,0,0,0,0,0,1:54,26817,7542,841,3,"Jeremy Stephens",16,27,5,7,3,5,15,27,0,0,9,12,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
7542,"The Ultimate Fighter: A Champion Will Be Crowned F","Charles Oliveira","Jeremy Stephens",Featherweight,U-DEC,NULL,3,5:00,18ba44e67d5c5f38,26818,7542,841,3,"Charles Oliveira",0,23,36,1,5,0,1,0,1:25,26818,7542,841,3,"Charles Oliveira",8,19,3,5,5,5,10,22,4,4,2,3,841,"The Ultimate Fighter: A Champion Will Be Crowned F",2014-12-12,"Las Vegas, Nevada, USA","1,800",222d6b547de2e035
6366,"UFC Fight Night: Condit vs Alves","Charles Oliveira","Nik Lentz",Featherweight,SUB,"Guillotine Choke",3,1:10,ff64fc34065565d0,28005,6366,637,1,"Nik Lentz",0,34,53,0,6,0,0,0,1:56,28005,6366,637,1,"Nik Lentz",17,34,6,7,4,4,15,26,11,18,1,1,637,"UFC Fight Night: Condit vs Alves",2015-05-30,"Goiania, Goias, Brazil","3,500",aae0897825336b1a
